primary_label,secondary_labels,filename,version,label,fold
abethr1,[],abethr1/XC300826 - Bare-eyed Thrush - Turdus tephronotus.mp3,new,0,5
abethr1,[],abethr1/XC300827 - Bare-eyed Thrush - Turdus tephronotus.mp3,new,0,4
abethr1,[],abethr1/XC469066 - Bare-eyed Thrush - Turdus tephronotus.mp3,new,0,3
abethr1,[],abethr1/XC510447 - Bare-eyed Thrush - Turdus tephronotus.mp3,new,0,5
abethr1,[],abethr1/XC510448 - Bare-eyed Thrush - Turdus tephronotus.mp3,new,0,4
abethr1,[],abethr1/XC510449 - Bare-eyed Thrush - Turdus tephronotus.mp3,new,0,4
afbfly1,[],afbfly1/XC425383 - African Blue Flycatcher - Elminia longicauda.mp3,new,3,1
afbfly1,[],afbfly1/XC425384 - African Blue Flycatcher - Elminia longicauda.mp3,new,3,2
afbfly1,[],afbfly1/XC48967 - African Blue Flycatcher - Elminia longicauda.mp3,new,3,3
afbfly1,[],afbfly1/XC719105 - African Blue Flycatcher - Elminia longicauda.mp3,new,3,3
afbfly1,[],afbfly1/XC719106 - African Blue Flycatcher - Elminia longicauda.mp3,new,3,5
afbfly1,[],afbfly1/XC739651 - African Blue Flycatcher - Elminia longicauda.mp3,new,3,1
affeag1,[],affeag1/105_110.mp3,new,6,4
affeag1,[],affeag1/70_75.mp3,new,6,5
afgfly1,[],afgfly1/XC278360 - African Grey Flycatcher - Melaenornis microrhynchus neumanni.mp3,new,7,2
afgfly1,[],afgfly1/XC300445 - African Grey Flycatcher - Melaenornis microrhynchus.mp3,new,7,2
afgfly1,[],afgfly1/XC300449 - African Grey Flycatcher - Melaenornis microrhynchus.mp3,new,7,3
afgfly1,[],afgfly1/XC300450 - African Grey Flycatcher - Melaenornis microrhynchus.mp3,new,7,3
afgfly1,[],afgfly1/XC33992 - African Grey Flycatcher - Melaenornis microrhynchus.mp3,new,7,1
afgfly1,[],afgfly1/XC449601 - African Grey Flycatcher - Melaenornis microrhynchus.mp3,new,7,5
afgfly1,[],afgfly1/XC449602 - African Grey Flycatcher - Melaenornis microrhynchus.mp3,new,7,3
afgfly1,[],afgfly1/XC510235 - African Grey Flycatcher - Melaenornis microrhynchus.mp3,new,7,4
afgfly1,[],afgfly1/XC510236 - African Grey Flycatcher - Melaenornis microrhynchus.mp3,new,7,1
afgfly1,[],afgfly1/XC510237 - African Grey Flycatcher - Melaenornis microrhynchus.mp3,new,7,5
afgfly1,[],afgfly1/XC510238 - African Grey Flycatcher - Melaenornis microrhynchus.mp3,new,7,2
afgfly1,[],afgfly1/XC77338 - African Grey Flycatcher - Melaenornis microrhynchus.mp3,new,7,1
afpkin1,[],afpkin1/XC209957 - African Pygmy Kingfisher - Ispidina picta picta.mp3,new,11,3
afpkin1,[],afpkin1/XC290244 - African Pygmy Kingfisher - Ispidina picta.mp3,new,11,2
afpkin1,[],afpkin1/XC425176 - African Pygmy Kingfisher - Ispidina picta.mp3,new,11,3
afpkin1,[],afpkin1/XC476827 - African Pygmy Kingfisher - Ispidina picta picta(1).mp3,new,11,2
afpkin1,[],afpkin1/XC476827 - African Pygmy Kingfisher - Ispidina picta picta.mp3,new,11,1
afpkin1,[],afpkin1/XC510189 - African Pygmy Kingfisher - Ispidina picta.mp3,new,11,1
afpkin1,[],afpkin1/XC647178 - African Pygmy Kingfisher - Ispidina picta natalensis.mp3,new,11,5
augbuz1,[],augbuz1/xc429960-augur-buzzard-buteo-augur_iQJEuatd.mp3,new,18,2
augbuz1,[],augbuz1/XC430172 - Augur Buzzard - Buteo augur.mp3,new,18,4
augbuz1,[],augbuz1/XC430173 - Augur Buzzard - Buteo augur.mp3,new,18,4
augbuz1,[],augbuz1/XC449288 - Augur Buzzard - Buteo augur.mp3,new,18,2
augbuz1,[],augbuz1/XC449289 - Augur Buzzard - Buteo augur.mp3,new,18,1
augbuz1,[],augbuz1/XC64902 - Augur Buzzard - Buteo augur.mp3,new,18,2
augbuz1,[],augbuz1/XC66308 - Augur Buzzard - Buteo augur.mp3,new,18,1
augbuz1,[],augbuz1/XC88562 - Augur Buzzard - Buteo augur.mp3,new,18,1
bawman1,[],bawman1/XC276877 - Black-and-white Mannikin - Spermestes bicolor poensis.mp3,new,22,3
bawman1,[],bawman1/XC413941 - Black-and-white Mannikin - Spermestes bicolor bicolor.mp3,new,22,2
bawman1,[],bawman1/XC739779 - Black-and-white Mannikin - Spermestes bicolor.mp3,new,22,3
bawman1,[],bawman1/XC99047 - Black-and-white Mannikin - Spermestes bicolor poensis.mp3,new,22,4
blhher1,[],blhher1/XC269275 - Black-headed Heron - Ardea melanocephala.mp3,new,35,1
blhher1,[],blhher1/XC392308 - Black-headed Heron - Ardea melanocephala.mp3,new,35,2
blhher1,[],blhher1/XC455447 - Black-headed Heron - Ardea melanocephala.mp3,new,35,4
blhher1,[],blhher1/XC455448 - Black-headed Heron - Ardea melanocephala.mp3,new,35,3
blhher1,[],blhher1/XC739412 - Black-headed Heron - Ardea melanocephala.mp3,new,35,4
blksaw1,[],blksaw1/XC210013 - Black Saw-wing - Psalidoprocne pristoptera.mp3,new,36,5
blksaw1,[],blksaw1/XC292874 - Black Saw-wing - Psalidoprocne pristoptera.mp3,new,36,1
blksaw1,[],blksaw1/XC366621 - Black Saw-wing - Psalidoprocne pristoptera orientalis.mp3,new,36,4
blksaw1,[],blksaw1/XC366622 - Black Saw-wing - Psalidoprocne pristoptera orientalis.mp3,new,36,4
blksaw1,[],blksaw1/XC392664 - Black Saw-wing - Psalidoprocne pristoptera.mp3,new,36,1
blksaw1,[],blksaw1/XC429893 - Black Saw-wing - Psalidoprocne pristoptera massaica.mp3,new,36,3
blksaw1,[],blksaw1/XC510370 - Black Saw-wing - Psalidoprocne pristoptera.mp3,new,36,2
blksaw1,[],blksaw1/XC739954 - Black Saw-wing - Psalidoprocne pristoptera.mp3,new,36,5
blksaw1,[],blksaw1/XC739955 - Black Saw-wing - Psalidoprocne pristoptera.mp3,new,36,1
blksaw1,[],blksaw1/XC739956 - Black Saw-wing - Psalidoprocne pristoptera.mp3,new,36,3
blksaw1,[],blksaw1/XC776843 - Black Saw-wing - Psalidoprocne pristoptera.mp3,new,36,3
blnwea1,[],blnwea1/XC510346 - Black-necked Weaver - Ploceus nigricollis.mp3,new,38,1
blnwea1,[],blnwea1/XC667607 - Black-necked Weaver - Ploceus nigricollis.mp3,new,38,1
blnwea1,[],blnwea1/XC759165 - Black-necked Weaver - Ploceus nigricollis.wav,new,38,4
blnwea1,[],blnwea1/XC99017 - Black-necked Weaver - Ploceus nigricollis brachypterus.mp3,new,38,5
blnwea1,[],blnwea1/XC99021 - Black-necked Weaver - Ploceus nigricollis brachypterus.mp3,new,38,3
blnwea1,[],blnwea1/XC99023 - Black-necked Weaver - Ploceus nigricollis brachypterus.mp3,new,38,4
bltapa1,[],bltapa1/XC113284 - Black-throated Apalis - Apalis jacksoni.mp3,new,39,1
bltapa1,[],bltapa1/XC545197 - Black-throated Apalis - Apalis jacksoni.mp3,new,39,4
bltapa1,[],bltapa1/XC71441 - Black-throated Apalis - Apalis jacksoni jacksoni.mp3,new,39,4
bltapa1,[],bltapa1/XC739392 - Black-throated Apalis - Apalis jacksoni.mp3,new,39,2
bltapa1,[],bltapa1/XC780531 - Black-throated Apalis - Apalis jacksoni.mp3,new,39,3
bltapa1,[],bltapa1/XC785080 - Black-throated Apalis - Apalis jacksoni jacksoni.wav,new,39,5
bltbar1,[],bltbar1/XC300789 - Black-throated Barbet - Tricholaema melanocephala.mp3,new,40,4
bltbar1,[],bltbar1/XC300790 - Black-throated Barbet - Tricholaema melanocephala.mp3,new,40,4
bltbar1,[],bltbar1/XC300791 - Black-throated Barbet - Tricholaema melanocephala.mp3,new,40,1
bltbar1,[],bltbar1/XC300792 - Black-throated Barbet - Tricholaema melanocephala.mp3,new,40,1
bltbar1,[],bltbar1/XC300793 - Black-throated Barbet - Tricholaema melanocephala.mp3,new,40,2
bltbar1,[],bltbar1/XC300794 - Black-throated Barbet - Tricholaema melanocephala.mp3,new,40,4
bltbar1,[],bltbar1/XC300795 - Black-throated Barbet - Tricholaema melanocephala.mp3,new,40,3
bltbar1,[],bltbar1/XC300796 - Black-throated Barbet - Tricholaema melanocephala.mp3,new,40,2
bltbar1,[],bltbar1/XC305836 - Black-throated Barbet - Tricholaema melanocephala.mp3,new,40,2
bltbar1,[],bltbar1/XC305839 - Black-throated Barbet - Tricholaema melanocephala.mp3,new,40,2
bltbar1,[],bltbar1/XC345086 - Black-throated Barbet - Tricholaema melanocephala.mp3,new,40,3
bltbar1,[],bltbar1/XC451559 - Black-throated Barbet - Tricholaema melanocephala stigmatothorax.mp3,new,40,2
bltbar1,[],bltbar1/XC452039 - Black-throated Barbet - Tricholaema melanocephala flavibuccalis .mp3,new,40,1
bltbar1,[],bltbar1/XC510440 - Black-throated Barbet - Tricholaema melanocephala.mp3,new,40,5
bltbar1,[],bltbar1/XC510443 - Black-throated Barbet - Tricholaema melanocephala.mp3,new,40,1
bltbar1,[],bltbar1/XC773918 - Black-throated Barbet - Tricholaema melanocephala stigmatothorax.wav,new,40,3
bltbar1,[],bltbar1/XC773922 - Black-throated Barbet - Tricholaema melanocephala stigmatothorax.wav,new,40,4
blwlap1,[],blwlap1/XC280828 - Black-winged Lapwing - Vanellus melanopterus.mp3,new,42,5
blwlap1,[],blwlap1/XC280829 - Black-winged Lapwing - Vanellus melanopterus.mp3,new,42,1
blwlap1,[],blwlap1/XC280830 - Black-winged Lapwing - Vanellus melanopterus.mp3,new,42,2
blwlap1,[],blwlap1/XC290136 - Black-winged Lapwing - Vanellus melanopterus.mp3,new,42,5
blwlap1,[],blwlap1/XC300859 - Black-winged Lapwing - Vanellus melanopterus.mp3,new,42,4
blwlap1,[],blwlap1/XC300862 - Black-winged Lapwing - Vanellus melanopterus.mp3,new,42,5
blwlap1,[],blwlap1/XC300864 - Black-winged Lapwing - Vanellus melanopterus.mp3,new,42,2
blwlap1,[],blwlap1/XC510465 - Black-winged Lapwing - Vanellus melanopterus.mp3,new,42,1
blwlap1,[],blwlap1/XC517498 - Black-winged Lapwing - Vanellus melanopterus minor.mp3,new,42,1
blwlap1,[],blwlap1/XC517499 - Black-winged Lapwing - Vanellus melanopterus minor.mp3,new,42,3
blwlap1,[],blwlap1/XC77370 - Black-winged Lapwing - Vanellus melanopterus.mp3,new,42,3
brcale1,[],brcale1/XC101157 - Brown-chested Alethe - Chamaetylas poliocephala.mp3,new,43,4
brcale1,[],brcale1/XC453434 - Brown-chested Alethe - Chamaetylas poliocephala carruthersi.mp3,new,43,1
brcale1,[],brcale1/XC739514 - Brown-chested Alethe - Chamaetylas poliocephala.mp3,new,43,4
brcale1,[],brcale1/XC739516 - Brown-chested Alethe - Chamaetylas poliocephala.mp3,new,43,2
brcale1,[],brcale1/XC739517 - Brown-chested Alethe - Chamaetylas poliocephala.mp3,new,43,2
brcsta1,[],brcsta1/XC101155 - Bristle-crowned Starling - Onychognathus salvadorii.mp3,new,44,3
brcsta1,[],brcsta1/XC300510 - Bristle-crowned Starling - Onychognathus salvadorii.mp3,new,44,2
brcsta1,[],brcsta1/XC305848 - Bristle-crowned Starling - Onychognathus salvadorii.mp3,new,44,5
brcsta1,[],brcsta1/XC771983 - Bristle-crowned Starling - Onychognathus salvadorii.mp3,new,44,4
brcsta1,[],brcsta1/XC796377 - Bristle-crowned Starling - Onychognathus salvadorii.mp3,new,44,2
brcwea1,[],brcwea1/XC234856 - Brown-capped Weaver - Ploceus insignis.mp3,new,46,3
brcwea1,[],brcwea1/XC450384 - Brown-capped Weaver - Ploceus insignis.mp3,new,46,4
brcwea1,[],brcwea1/XC450388 - Brown-capped Weaver - Ploceus insignis.mp3,new,46,2
brcwea1,[],brcwea1/XC739921 - Brown-capped Weaver - Ploceus insignis.mp3,new,46,5
brcwea1,[],brcwea1/XC739922 - Brown-capped Weaver - Ploceus insignis.mp3,new,46,1
brrwhe3,[],brrwhe3/XC450398 - Kikuyu White-eye - Zosterops kikuyuensis.mp3,new,51,4
brrwhe3,[],brrwhe3/XC455646 - Kikuyu White-eye - Zosterops kikuyuensis.mp3,new,51,3
brrwhe3,[],brrwhe3/XC455648 - Kikuyu White-eye - Zosterops kikuyuensis.mp3,new,51,4
brrwhe3,[],brrwhe3/XC774762 - Kikuyu White-eye - Zosterops kikuyuensis.mp3,new,51,2
brrwhe3,[],brrwhe3/XC774764 - Kikuyu White-eye - Zosterops kikuyuensis.mp3,new,51,2
brrwhe3,[],brrwhe3/XC92935 - Kikuyu White-eye - Zosterops kikuyuensis.mp3,new,51,1
brrwhe3,[],brrwhe3/XC93106 - Kikuyu White-eye - Zosterops kikuyuensis.mp3,new,51,5
brtcha1,[],brtcha1/XC276884 - Brown-tailed Rock Chat - Oenanthe scotocerca turkana.mp3,new,52,1
brtcha1,[],brtcha1/XC276886 - Brown-tailed Rock Chat - Oenanthe scotocerca turkana.mp3,new,52,1
brtcha1,[],brtcha1/XC276887 - Brown-tailed Rock Chat - Oenanthe scotocerca turkana.mp3,new,52,4
brtcha1,[],brtcha1/XC276889 - Brown-tailed Rock Chat - Oenanthe scotocerca turkana.mp3,new,52,2
brtcha1,[],brtcha1/XC451544 - Brown-tailed Rock Chat - Oenanthe scotocerca turkana.mp3,new,52,3
brtcha1,[],brtcha1/XC451545 - Brown-tailed Rock Chat - Oenanthe scotocerca turkana.mp3,new,52,5
bubwar2,[],bubwar2/XC277991 - Buff-bellied Warbler - Phyllolais pulchella.mp3,new,57,1
bubwar2,[],bubwar2/XC300542 - Buff-bellied Warbler - Phyllolais pulchella.mp3,new,57,3
bubwar2,[],bubwar2/XC300543 - Buff-bellied Warbler - Phyllolais pulchella.mp3,new,57,2
